Image-name-unique,Left-amygdala,Left-caudalanteriorcingulate,Left-caudalmiddlefrontal,Left-cuneus,Left-entorhinal,Left-fusiform,Left-hippocampus,Left-inferiorparietal,Left-inferiortemporal,Left-insula,Left-isthmuscingulate,Left-lateraloccipital,Left-lateralorbitofrontal,Left-lingual,Left-medialorbitofrontal,Left-middletemporal,Left-parahippocampal,Left-parsopercularis,Left-parsorbitalis,Left-parstriangularis,Left-pericalcarine,Left-postcentral,Left-posteriorcingulate,Left-precentral,Left-precuneus,Left-rostralanteriorcingulate,Left-rostralmiddlefrontal,Left-superiorfrontal,Left-superiorparietal,Left-superiortemporal,Left-supramarginal,Left-transversetemporal,Right-amygdala,Right-caudalanteriorcingulate,Right-caudalmiddlefrontal,Right-cuneus,Right-entorhinal,Right-fusiform,Right-hippocampus,Right-inferiorparietal,Right-inferiortemporal,Right-insula,Right-isthmuscingulate,Right-lateraloccipital,Right-lateralorbitofrontal,Right-lingual,Right-medialorbitofrontal,Right-middletemporal,Right-parahippocampal,Right-parsopercularis,Right-parsorbitalis,Right-parstriangularis,Right-pericalcarine,Right-postcentral,Right-posteriorcingulate,Right-precentral,Right-precuneus,Right-rostralanteriorcingulate,Right-rostralmiddlefrontal,Right-superiorfrontal,Right-superiorparietal,Right-superiortemporal,Right-supramarginal,Right-transversetemporal,Right-frontalpole,Right-temporalpole,Left-paracentral,Left-bankssts,Left-temporalpole,Right-bankssts,Right-paracentral,Left-frontalpole
ag_1.0,1.5687720045199909,1.5991888403366379,1.5991888403366379,1.699426653379426,1.5687720045199909,1.9345517857242898,1.5687720045199909,1.9431875869741555,1.9345517857242898,1.5991888403366379,1.9431875869741555,1.699426653379426,1.5991888403366379,1.699426653379426,1.5991888403366379,1.9345517857242898,1.9345517857242898,1.5991888403366379,1.5991888403366379,1.5991888403366379,1.699426653379426,1.9431875869741555,1.9431875869741555,1.5991888403366379,1.9431875869741555,1.5991888403366379,1.5991888403366379,1.5991888403366379,1.9431875869741555,1.9345517857242898,1.9431875869741555,1.9345517857242898,1.5509001142558343,1.5754906562828412,1.5754906562828412,1.6768713397407717,1.5509001142558343,1.9014083321544597,1.5509001142558343,1.9366918480229998,1.9014083321544597,1.5754906562828412,1.9366918480229998,1.6768713397407717,1.5754906562828412,1.6768713397407717,1.5754906562828412,1.9014083321544597,1.9014083321544597,1.5754906562828412,1.5754906562828412,1.5754906562828412,1.6768713397407717,1.9366918480229998,1.9366918480229998,1.5754906562828412,1.9366918480229998,1.5754906562828412,1.5754906562828412,1.5754906562828412,1.9366918480229998,1.9014083321544597,1.9366918480229998,1.9014083321544597,0,0,0,0,0,0,0,0
ag_2.0,1.5112567104348809,1.5106954559479557,1.5106954559479557,1.674535270054377,1.5112567104348809,1.8284943998818939,1.5112567104348809,1.8539262281127427,1.8284943998818939,1.5106954559479557,1.8539262281127427,1.674535270054377,1.5106954559479557,1.674535270054377,1.5106954559479557,1.8284943998818939,1.8284943998818939,1.5106954559479557,1.5106954559479557,1.5106954559479557,1.674535270054377,1.8539262281127427,1.8539262281127427,1.5106954559479557,1.8539262281127427,1.5106954559479557,1.5106954559479557,1.5106954559479557,1.8539262281127427,1.8284943998818939,1.8539262281127427,1.8284943998818939,1.4882511225613204,1.4741023963263413,1.4741023963263413,1.6435609858064115,1.4882511225613204,1.7732180223227665,1.4882511225613204,1.8256379672869325,1.7732180223227665,1.4741023963263413,1.8256379672869325,1.6435609858064115,1.4741023963263413,1.6435609858064115,1.4741023963263413,1.7732180223227665,1.7732180223227665,1.4741023963263413,1.4741023963263413,1.4741023963263413,1.6435609858064115,1.8256379672869325,1.8256379672869325,1.4741023963263413,1.8256379672869325,1.4741023963263413,1.4741023963263413,1.4741023963263413,1.8256379672869325,1.7732180223227665,1.8256379672869325,1.7732180223227665,0,0,0,0,0,0,0,0
ag_3.0,1.4434300823820894,1.5082151089715172,1.5082151089715172,1.5992875684103893,1.4434300823820894,1.764720215536704,1.4434300823820894,1.7860239880345194,1.764720215536704,1.5082151089715172,1.7860239880345194,1.5992875684103893,1.5082151089715172,1.5992875684103893,1.5082151089715172,1.764720215536704,1.764720215536704,1.5082151089715172,1.5082151089715172,1.5082151089715172,1.5992875684103893,1.7860239880345194,1.7860239880345194,1.5082151089715172,1.7860239880345194,1.5082151089715172,1.5082151089715172,1.5082151089715172,1.7860239880345194,1.764720215536704,1.7860239880345194,1.764720215536704,1.4205116372720945,1.4601248659366268,1.4601248659366268,1.5908253437355022,1.4205116372720945,1.7104826599250291,1.4205116372720945,1.743673804976647,1.7104826599250291,1.4601248659366268,1.743673804976647,1.5908253437355022,1.4601248659366268,1.5908253437355022,1.4601248659366268,1.7104826599250291,1.7104826599250291,1.4601248659366268,1.4601248659366268,1.4601248659366268,1.5908253437355022,1.743673804976647,1.743673804976647,1.4601248659366268,1.743673804976647,1.4601248659366268,1.4601248659366268,1.4601248659366268,1.743673804976647,1.7104826599250291,1.743673804976647,1.7104826599250291,0,0,0,0,0,0,0,0
ag_4.0,1.5174505403554783,1.5695105250495491,1.5695105250495491,1.7158168721453464,1.5174505403554783,1.8471434584775024,1.5174505403554783,1.9079248999183436,1.8471434584775024,1.5695105250495491,1.9079248999183436,1.7158168721453464,1.5695105250495491,1.7158168721453464,1.5695105250495491,1.8471434584775024,1.8471434584775024,1.5695105250495491,1.5695105250495491,1.5695105250495491,1.7158168721453464,1.9079248999183436,1.9079248999183436,1.5695105250495491,1.9079248999183436,1.5695105250495491,1.5695105250495491,1.5695105250495491,1.9079248999183436,1.8471434584775024,1.9079248999183436,1.8471434584775024,1.5016596177155144,1.552194211065276,1.552194211065276,1.72500571411603,1.5016596177155144,1.835310957850202,1.5016596177155144,1.9054234097233855,1.835310957850202,1.552194211065276,1.9054234097233855,1.72500571411603,1.552194211065276,1.72500571411603,1.552194211065276,1.835310957850202,1.835310957850202,1.552194211065276,1.552194211065276,1.552194211065276,1.72500571411603,1.9054234097233855,1.9054234097233855,1.552194211065276,1.9054234097233855,1.552194211065276,1.552194211065276,1.552194211065276,1.9054234097233855,1.835310957850202,1.9054234097233855,1.835310957850202,0,0,0,0,0,0,0,0
ag_5.0,1.5984642319319982,1.5987695822340355,1.5987695822340355,1.8180267053316557,1.5984642319319982,1.9461179613058683,1.5984642319319982,2.046344309033161,1.9461179613058683,1.5987695822340355,2.046344309033161,1.8180267053316557,1.5987695822340355,1.8180267053316557,1.5987695822340355,1.9461179613058683,1.9461179613058683,1.5987695822340355,1.5987695822340355,1.5987695822340355,1.8180267053316557,2.046344309033161,2.046344309033161,1.5987695822340355,2.046344309033161,1.5987695822340355,1.5987695822340355,1.5987695822340355,2.046344309033161,1.9461179613058683,2.046344309033161,1.9461179613058683,1.5813598255779575,1.5680918357435878,1.5680918357435878,1.8157810236692453,1.5813598255779575,1.9057242587076368,1.5813598255779575,2.0156271408458117,1.9057242587076368,1.5680918357435878,2.0156271408458117,1.8157810236692453,1.5680918357435878,1.8157810236692453,1.5680918357435878,1.9057242587076368,1.9057242587076368,1.5680918357435878,1.5680918357435878,1.5680918357435878,1.8157810236692453,2.0156271408458117,2.0156271408458117,1.5680918357435878,2.0156271408458117,1.5680918357435878,1.5680918357435878,1.5680918357435878,2.0156271408458117,1.9057242587076368,2.0156271408458117,1.9057242587076368,0,0,0,0,0,0,0,0
km_1.0,1.5096951443532505,1.5550055241758933,1.5550055241758933,1.6296266264954837,1.5096951443532505,1.858636040468841,1.5096951443532505,1.865068835740464,1.858636040468841,1.5550055241758933,1.865068835740464,1.6296266264954837,1.5550055241758933,1.6296266264954837,1.5550055241758933,1.858636040468841,1.858636040468841,1.5550055241758933,1.5550055241758933,1.5550055241758933,1.6296266264954837,1.865068835740464,1.865068835740464,1.5550055241758933,1.865068835740464,1.5550055241758933,1.5550055241758933,1.5550055241758933,1.865068835740464,1.858636040468841,1.865068835740464,1.858636040468841,1.4946536094101401,1.5261015681270664,1.5261015681270664,1.614009787666999,1.4946536094101401,1.8180344206708139,1.4946536094101401,1.8546795849008018,1.8180344206708139,1.5261015681270664,1.8546795849008018,1.614009787666999,1.5261015681270664,1.614009787666999,1.5261015681270664,1.8180344206708139,1.8180344206708139,1.5261015681270664,1.5261015681270664,1.5261015681270664,1.614009787666999,1.8546795849008018,1.8546795849008018,1.5261015681270664,1.8546795849008018,1.5261015681270664,1.5261015681270664,1.5261015681270664,1.8546795849008018,1.8180344206708139,1.8546795849008018,1.8180344206708139,0,0,0,0,0,0,0,0
km_2.0,1.5836570738507996,1.583158847933103,1.583158847933103,1.785705242381368,1.5836570738507996,1.9217596274459123,1.5836570738507996,1.9988507525912085,1.9217596274459123,1.583158847933103,1.9988507525912085,1.785705242381368,1.583158847933103,1.785705242381368,1.583158847933103,1.9217596274459123,1.9217596274459123,1.583158847933103,1.583158847933103,1.583158847933103,1.785705242381368,1.9988507525912085,1.9988507525912085,1.583158847933103,1.9988507525912085,1.583158847933103,1.583158847933103,1.583158847933103,1.9988507525912085,1.9217596274459123,1.9988507525912085,1.9217596274459123,1.5642027519707065,1.5587127143501458,1.5587127143501458,1.7737022578666473,1.5642027519707065,1.8781640218688413,1.5642027519707065,1.9656125831748381,1.8781640218688413,1.5587127143501458,1.9656125831748381,1.7737022578666473,1.5587127143501458,1.7737022578666473,1.5587127143501458,1.8781640218688413,1.8781640218688413,1.5587127143501458,1.5587127143501458,1.5587127143501458,1.7737022578666473,1.9656125831748381,1.9656125831748381,1.5587127143501458,1.9656125831748381,1.5587127143501458,1.5587127143501458,1.5587127143501458,1.9656125831748381,1.8781640218688413,1.9656125831748381,1.8781640218688413,0,0,0,0,0,0,0,0
km_3.0,1.5205962716764716,1.5680923623044143,1.5680923623044143,1.653172238029015,1.5205962716764716,1.8644033223473266,1.5205962716764716,1.8646617311440272,1.8644033223473266,1.5680923623044143,1.8646617311440272,1.653172238029015,1.5680923623044143,1.653172238029015,1.5680923623044143,1.8644033223473266,1.8644033223473266,1.5680923623044143,1.5680923623044143,1.5680923623044143,1.653172238029015,1.8646617311440272,1.8646617311440272,1.5680923623044143,1.8646617311440272,1.5680923623044143,1.5680923623044143,1.5680923623044143,1.8646617311440272,1.8644033223473266,1.8646617311440272,1.8644033223473266,1.4990995830453262,1.5458920400020095,1.5458920400020095,1.658424893109643,1.4990995830453262,1.8403471461278846,1.4990995830453262,1.8494871110321773,1.8403471461278846,1.5458920400020095,1.8494871110321773,1.658424893109643,1.5458920400020095,1.658424893109643,1.5458920400020095,1.8403471461278846,1.8403471461278846,1.5458920400020095,1.5458920400020095,1.5458920400020095,1.658424893109643,1.8494871110321773,1.8494871110321773,1.5458920400020095,1.8494871110321773,1.5458920400020095,1.5458920400020095,1.5458920400020095,1.8494871110321773,1.8403471461278846,1.8494871110321773,1.8403471461278846,0,0,0,0,0,0,0,0
km_4.0,1.4949836020865193,1.4911111218124986,1.4911111218124986,1.652116018091393,1.4949836020865193,1.8018065343684115,1.4949836020865193,1.831309683952731,1.8018065343684115,1.4911111218124986,1.831309683952731,1.652116018091393,1.4911111218124986,1.652116018091393,1.4911111218124986,1.8018065343684115,1.8018065343684115,1.4911111218124986,1.4911111218124986,1.4911111218124986,1.652116018091393,1.831309683952731,1.831309683952731,1.4911111218124986,1.831309683952731,1.4911111218124986,1.4911111218124986,1.4911111218124986,1.831309683952731,1.8018065343684115,1.831309683952731,1.8018065343684115,1.4654021477136332,1.4380608969423656,1.4380608969423656,1.6018474779270675,1.4654021477136332,1.724096289387045,1.4654021477136332,1.782145274821555,1.724096289387045,1.4380608969423656,1.782145274821555,1.6018474779270675,1.4380608969423656,1.6018474779270675,1.4380608969423656,1.724096289387045,1.724096289387045,1.4380608969423656,1.4380608969423656,1.4380608969423656,1.6018474779270675,1.782145274821555,1.782145274821555,1.4380608969423656,1.782145274821555,1.4380608969423656,1.4380608969423656,1.4380608969423656,1.782145274821555,1.724096289387045,1.782145274821555,1.724096289387045,0,0,0,0,0,0,0,0
km_5.0,1.5342133461595713,1.5637263840998268,1.5637263840998268,1.754020115985491,1.5342133461595713,1.8654432291054508,1.5342133461595713,1.9344426562939787,1.8654432291054508,1.5637263840998268,1.9344426562939787,1.754020115985491,1.5637263840998268,1.754020115985491,1.5637263840998268,1.8654432291054508,1.8654432291054508,1.5637263840998268,1.5637263840998268,1.5637263840998268,1.754020115985491,1.9344426562939787,1.9344426562939787,1.5637263840998268,1.9344426562939787,1.5637263840998268,1.5637263840998268,1.5637263840998268,1.9344426562939787,1.8654432291054508,1.9344426562939787,1.8654432291054508,1.5182773151352944,1.5406999927305274,1.5406999927305274,1.754244298571208,1.5182773151352944,1.8472081977356574,1.5182773151352944,1.9300995776851109,1.8472081977356574,1.5406999927305274,1.9300995776851109,1.754244298571208,1.5406999927305274,1.754244298571208,1.5406999927305274,1.8472081977356574,1.8472081977356574,1.5406999927305274,1.5406999927305274,1.5406999927305274,1.754244298571208,1.9300995776851109,1.9300995776851109,1.5406999927305274,1.9300995776851109,1.5406999927305274,1.5406999927305274,1.5406999927305274,1.9300995776851109,1.8472081977356574,1.9300995776851109,1.8472081977356574,0,0,0,0,0,0,0,0
